Number,txt,S1,S2,S3,TITLE,CONTENT
436,臨,3,8,2,飼養,飼養事業未為良，損失養物大不祥，幸得吉神來剋煞，平平利益也尋常，鬼爻持世未為良，損失春蠶不大強，幸遇子孫來克鬼，平平利益也尋常
437,夬,4,2,1,飼養,卦占飼養意如何，官鬼降臨損傷多，成本增加利平平，切莫貪多要斟酌，君問春蠶意若何，鬼爻臨位損傷多，誠心祈禱平平利，切勿貪多更損和
438,訟,5,1,6,飼養,飼養牲物未為良，飼養勞苦事不祥，幸得福神來護佑，收成一半可平常，世喜應外未為良，蠶事勞勞不大強，幸得福神來上卦，收成一半可平常
439,蹇,6,6,7,飼養,飼養六牲頗稱心，官鬼興合得千金，括中劫煞沒防損，造福積德更得真，君問春蠶頗稱心，內爻興旺得千金，其中其鬼沒防損，作福祁神使得真
440,頤,7,7,4,飼養,飼養六畜可稱心，財神臨來心意隨，不必多占空費力，十分財利喜門庭，頤爻持世意隨願，君問春蠶喜稱心，不必多占空費力，十分財喜在門庭
441,恆,8,4,5,飼養,飼養牲畜兩重財，官鬼相臨久稱懷，幸得福德安亦在，七分財喜定然來，君占起超固非宜，起後須知略見非，幸得子孫來世位，福祿來財喜得定
442,泰,1,8,1,壽年,卦卜知君問壽年，生來福祿依天權，雖知生死枯榮事，貴人解延年益壽，卦卜知君問壽年，生來衣祿付天權，雖知生死榮枯事，八八加三夢九泉
443,困,2,2,6,壽年,卜卦問壽世如何，又恐光陰去已多，壽能八八造福基，貴人化解延年壽，君來問壽世如何，光陰去多甲子年，今歲欲防跌撞運，壽元八八夢南柯
444,遯,3,1,7,壽年,君問壽年富應許，鬼神纏身應逢凶，吉凶無常事不同，福壽齊眉如彭祖，鬼神持世應逢凶，聚散無常事不同，君問年壽富應許，福壽齊眉老令公
445,屯,4,6,4,壽年,問卜壽年可長久，乃是南山松竹友，一生心地皆無差，速造福延年益壽，君問壽年可長久，乃是南山松竹友，一生心地皆無差，兒孫對對福祿官
446,蠱,5,7,5,壽年,壽年問卜用心機，平生勞綠早年刑，身弱病纏免憂心，老景豐食壽元足，平生勞碌用心機，早年刑克可相期，老景豐衣可足食，壽年八十內外傳
447,豐,6,4,3,壽年,壽年不足問心事，不覺晚景有餘寧，到底壽元多少數，花甲之春方可期，少年不足遂心機，不覺風景有餘寧，若問壽年多少數，花甲之春方可期
448,觀,7,5,8,壽年,卜壽年疾病相連，憂慮健康晚景榮，若是貴人造福算，年延益壽方可行，目下疾未通相連，官殺桑榆晚景榮，若伏古稀添鶴算，潮消光耀方可終
449,睽,8,3,2,壽年,君占壽年壽不靈，雖洩天機擾天庭，眼前都是冤魂到，外陰業債財枉費，君占壽數壽不靈，天機雖泄紛紛擾，冤親債主到魂庭，縱有錢財枉費心
221,剝,1,7,8,徵人,徵人員工來占卜，福德星臨事亨通，雖是眼前多阻隔，遲遲方許順可成，君因討僕來占卜，福德星臨事事亨，眼前多阻雖是難，或可交成會延遲
450,歸妹,2,4,2,徵人,徵人下屬貴人弱，誠徵占之事不良，徵得是非防口舌，最好仔細再商量，歸妹之卦子孫強，買僕占之事不良，買得終須防口舌，商量仔細莫再還
451,小畜,3,5,1,徵人,徵人員工事得當，官鬼安靜喜相生，不必多疑速決定，遲了又恐事難成，六爻安靜辰星旺，討僕添丁事的當，不必多疑須作速，遲遲又恐尚遲遲
452,未濟,4,3,6,徵人,徵人員工正得緣，求得正才亦美哉，不論招傭並討才，勞資雙方有和諧，卦占未濟兩重財，進口添丁亦美哉，不論招奴並討僕，定知日後有和諧
453,謙,5,8,7,徵人,君來問卜徵人員，求才求賢助益多，目下閑言休妄聽，成事參半在於已，君來問卜討家奴，永遠綿長後我多，目下閑言休枉聽，一心辨價莫教訛
454,隨,6,2,4,徵人,徵人占之事難成，吉神不臨卦分明，陰陽兩空心鬼動，將來口舌有紛爭，子孫不上卦爻間，討僕占之事應難，世應兩空官鬼動，將來口舌有憎嫌
455,姤,7,1,5,徵人,卦占徵員雖如願，欲徵人才未必良，夏秋兩季是非多，縱然要徵再商量，文書持世子孫昌，欲討家奴未必良，夏忌閑非多失脫，縱然要討再商量
456,既濟,8,6,3,徵人,徵員求才最為良，徵得人才福祿長，莫聽旁人是非言，成事之後定知詳，君占討僕最為良，討得成時壽命長，旁人外語聽莫信，事後知詳應具全
457,蠱,2,7,5,調解,調解須知有貴人，官鬼相交事難成，惟向東南求貴人，皆能歡喜得雙全，兩爻財盛來生世，和事須知遇貴人，唯向東南祈兆去，財能升位的千金
458,屯,1,6,4,調解,調解應知不順情，雙方對沖兩相侵，各懷鬼胎多反覆，雙方忍耐免虛驚，文書官鬼兩相侵，和事應知不順情，有事定然反復去，忍耐修心待天明
459,豐,3,4,3,調解,調解之中可圓融，雙方和解只細詳，圓滿合諧利九月，執中公道自分明，坎卦之中可圓融，君問和事可能通，折獄片言利九月，執中公道兩無容
460,觀,4,5,8,調解,欲占調解稱君心，兩方和事就可成，唯有官鬼來作恐，喜逢主事要和合，欲占和事稱君心，世應相生事可成，只恐一人來做鬼，喜逢原被要和平
461,睽,5,3,2,調解,調解占之不吉祥，多重意見難和解，如在冬季順心意，若在春秋有刑傷，和事占之不吉祥，弟兄持世難商量，交冬方得遂心意，若在春秋有刑傷
462,泰,6,8,1,調解,調解占之喜順情，兩人公道得安寧，私和若不官和好，勉強和來恐不能，和事占之喜遂情，兩人公道得安寧，財旺重重無欠缺，將來必定有歸完
463,困,7,2,6,調解,調解應知未順情，不須退步免虛驚，重重官鬼來相剋，必得官貴顯可成，和事應知未遂情，不須退步免虛驚，重重官鬼來相克，必得官和照可成
464,遯,8,1,7,調解,調解鬼胎兩相沖，甲乙雙方未認同，縱得和解終欠理，平均得要心公正，兩重官鬼兩相凶，和事占之未便從，縱得和來終欠理，兩平均得要心公
465,晉,1,3,8,賭博,賭博求財難得意，春夏四季多不利，輸盡錢財不須疑，人財兩傷心難安，求謀先聲莫強求，本官財盡始相還，秋冬欠勝無些利，春秋還勞不耐煩
466,臨,2,8,2,賭博,賭博占此只平平，世應相生事有靈，三心二意心不定，四七十一定佳音，賭錢占此只平平，世應相生事有靈，利息不多財許穩，四七十一定佳音
467,夬,3,2,1,賭博,賭博未必順君心，定費心機不順情，內外兩卦不見喜，更防失脫莫猜疑，賭錢未必遂君心，心機不順定費心，內外兩爻無利益，莫胡行更防失算
468,訟,4,1,6,賭博,卜卦賭傅好賭錢，官鬼剋我不須猜，輸贏無法可定位，辰午之日白手來，蔔數占之好賭錢，應來生事不須猜，東西定位無心選，辰午之時白手來
469,蹇,5,6,7,賭博,賭博占之許稱心，官鬼生我喜財益，時逢亥子財星旺，一擲金錢得萬利，賭博占之許稱心，應來生世喜相生，時逢亥子財星旺，一擲金錢得萬文
470,頤,6,7,4,賭博,賭博目前可得運，財星臨庫不為奇，如遇秋冬防未穩，若逢春夏自能期，財臨世位有稀奇，賭博場中事最宜，如遇秋冬防未穩，若逢春夏自能期
471,恆,7,4,5,賭博,卦卜賭博實美哉，財臨世位莫貪利，春間利益平平過，夏季秋時滿財利，惟卦材臨世位來，賭錢逢此實親哉，春間利息平平過，夏季秋時滿取財
472,家人,8,5,3,賭博,賭博占卜劫財臨，反覆無常財不順，莫怪旁人來勸阻，勸阻不是是非人，賭博再怕弟兄臨，常不順反反覆覆，旁人勸阻莫怪耶，是非人勸阻是非
473,同人,1,1,3,學業,學業防內陰公礙，功名晉升終可望，學術發展期可望，名利可雙收大吉，鬼爻持世卦相同，又許讀書望進身，從此功名終可望，須知入泮有鴻名
474,比,2,6,8,學業,君問學業聖賢書，讀書事業可堪圖，官臨世位文星旺，選入功名聲世昌，經綸事業聖賢書，可讀書方圖事業，文星旺位官臨世，功名入選住帝邦
475,損,3,7,2,學業,學業運佳恩臨身，學業相生文昌明，得文昌星位作養，年逢水火得揚名，讀書又許恩臨身，印綬相生得稱心，選入芹宮蒙作養，年逢水火得揚名
476,大壯,4,4,1,學業,學業文昌來生世，讀書成就實無礙，占來定許業成就，木火之年顯家門，鬼應文書來應位，讀書成就實無疑，占來定許業成就，木火之年折桂枝
477,渙,5,5,6,學業,卦占學業力平常，文昌降臨仍可行，讀書靠己勤學進，學業才高自顯明，世應重重兄弟存，子孫臨應可施行，讀書修己工夫進，學業才高自顯明
478,旅,6,3,7,學業,學業無位不為佳，讀書為業未足誇，若要讀書須命湊，財源方許擁烏紗，鬼爻無位不為佳，學業占之未足誇，若要讀書須命湊，財源方許擁烏紗
479,復,7,8,4,學業,業學占卦問功名，困難重重總不如，雖是文書成錦繡，仍然是個白衣儒，君占此卦問功名，隔角重重總不如，雖是文章成錦繡，也還是個白衣儒
480,大過,8,2,5,學業,學業發展欲讀書，文書生官來相扶，已酉丑年有進步，勸君熟讀五車書，占卦知君欲讀書，應來生世世相扶，已酉丑年前進步，勸君熟讀五車書
481,謙,1,8,7,學藝,學藝求財此卦奇，福神降臨是時候，秋冬財源多順意，更遇高人百事宜，手藝求財此卦奇，子孫持世事周齊，近秋冬廣進財源，遇高人百事皆宜
482,隨,2,2,4,學藝,卜卦學藝順心意，雖微利益天安排，況且手藝多靈巧，勞心勞力事可為，世應相生無不遂，唯利微益數安排，況嫌手藝多靈巧，事情皆勞心勞力
483,姤,3,1,5,學藝,學藝求財事不宜，逢官鬼運有憂疑，秋天方許順心願，三季無財要見機，手藝求財卦不宜，應逢官鬼有猶疑，交利方許遂心願，三季無財要見機
484,既濟,4,6,3,學藝,君占學藝要勞心，若得勞心事可成，秋初冬末多獲利，夏春財利略平平，君占手藝要勞心，若要勞心事可成，冬末秋初多獲利，夏春財喜略平平
485,剝,5,7,8,學藝,學藝高成可發揚，雖是勞心又勞力，貴人臨門卦為昌，一年四季利汪洋，子孫持世卦為昌，手藝高成可發揚，雖是勞心並勞力，一年四季利汪洋
486,歸妹,6,4,2,學藝,占學藝得順心意，才藝財旺事業真，春夏兩季平平利，一到秋冬益利臨，身旺財爻事志真，來占手藝得遂心，春夏兩季平平利，一到秋冬利益增
487,小畜,7,5,1,學藝,學藝占之工作佳，卦中喜見兩重財，怎奈工作劫煞見，大財難見小財來，卦占喜見兩重財，手藝占之實美哉，怎奈重重兄弟見，大財難見小財來
488,未濟,8,3,6,學藝,君占學藝取人財，賓主雖合有劫財，幸得財神臨我位，必須先捨求利生，手藝取財需巧手，世應相和多比肩，幸得財爻臨應位，舍利求自生智慧
489,隨,1,2,4,親病,親病難醫五鬼纏，外陰礙願未儐還，吉凶月中才知曉，貴人化解免災殃，財來生鬼病難醫，父母家星要護持，夙願如今還應早，一旬半月總評論
490,姤,2,1,5,親病,親病無端疾病犯，內外陰公官鬼動，貴人化解無礙事，放下心頭莫牽掛，父母無端疾病占，卦中財動鬼官連，子未占卜無應事，若把心頭莫掛牽
491,既濟,3,6,3,親病,疾病纏身父母親，官鬼相應有精神，庚辛戊己災星退，內陰公祈保安臨，疾病纏綿父母身，鬼爻相應有精神，庚辛戊己災星退，作福祈神保安寧
492,剝,4,7,8,親病,君占親病事如何，病到臨危又復生，日逢已午痊癒好，祈福無災平安樂，子占親病事如何，病到臨危又複生，日逢巳午全愈好，從此無災過有秋
493,歸妹,5,4,2,親病,親病內陰佔不吉，造福消業或可延，年逢七九休歡喜，兼收妙計始無疑，父母得病把卦占，許福求神或可延，年逢七九休歡喜，兼收妙計始無尤
494,小畜,6,5,1,親病,親病官鬼病難安，家內外陰造福昌，待到秋季病方減，還須調理才安癒，六爻無鬼病難安，父母占之自不安，待到庚辛方漸減，也須調理才安痊
495,未濟,7,3,6,親病,卦占父母病纏綿，星辰運壞抵抗差，破福祈上天保佑，貴人相助即安康，子占父母病纏綿，只為星辰降瓦紀，還要破財並保佑，請醫服藥自然安
496,謙,8,8,7,親病,占父母病殃無妨，藥到病除有吉祥，好藥調和三五劑，無刑無沖何必忙，父母災殃定不妨，應透官位壽綿長，上醫三五劑好藥，限度無沖何必忙
497,未濟,5,3,6,選舉,地方選舉不為奇，君占選舉不利己，雖然目下難順意，管教秋冬願可期，未濟之中終有濟，君占納吏不為奇，雖然目下難遂意，管教秋冬願可期
498,既濟,1,6,3,選舉,選舉占之得吉祥，文書官鬼兩星明，財官雙美兩如意，五鬼意外來阻礙，納監占之怕子孫，文書官鬼兩星明，崢嶸仕路何須慮，定注財物兩稱心
499,剝,2,7,8,選舉,地方選舉問神明，福德星強喜氣臨，雖是眼前多阻隔，東西遇貴得前程，卦占納監問神明，喜氣臨福德星強，眼前多阻隔勿驚，遇貴東西前程得
500,歸妹,3,4,2,選舉,選舉地方恐無成，官鬼不顯非無能，貴人文宣不夠利，三思謹慎得安寧，君占納監恐無成，子動重重枉費心，更忌文書看重複，三思謹慎得安寧
501,小畜,4,5,1,選舉,地方選舉不如情，是非重重事不寧，財旺升官終有望，不宜急迫且稍停，君占納監不如情，官鬼重重卦不寧，財旺生官中有望，不宜急迫且稍停
502,謙,6,8,7,選舉,選舉求官許順情，地方選舉官來臨，夏季收成秋未可，秋冬貴助喜成名，地山謙卦鬼門臨，納監求官須遂情，夏季收成秋未可，秋冬貴助喜成名
503,隨,7,2,4,選舉,地方選舉不如心，逄凶官鬼不足論，勸君暫緩不要急，更防目下有虛驚，君占納監少如心，世位逢凶不足論，且自遲遲休要急，更防目下有虛驚
504,姤,8,1,5,選舉,占地方選舉不宜，不如安命莫奔騰，寅年午戌官星旺，財多喜氣耀門庭，納監來占往帝都，不如安命莫奔波，寅年午歲官星旺，財多喜氣耀門庭
505,坤地,1,8,8,護送,護送須忌有虛驚，費心勞力不得寧，交卸完全心始放，若不小心有傷害，解人須忌有虛驚，勞心費力不得寧，交卸擔兒始放心，有傷刑小心前行
506,兌澤,2,2,2,護送,護送不可不堤防，嘔氣傷身人不安，幸得貴人多助力，雖然勞苦不勞心，解人不可不提防，慪氣傷財傷不安，幸得貴人多助力，勞苦不傷心實幹
507,乾天,3,1,1,護送,護送卦占百無驚，官星文書兩相明，沿途貴星會有助，勞心勞綠得安寧，解人占此百無驚，官鬼文書兩字明，當道貴人應有助，先須勞碌後安寧
508,坎水,4,6,6,護送,護送問占有虛驚，行到中途要小心，春夏兩季無大礙，秋冬定占有刑傷，解人略忌有虛驚，行到中途要小心，春夏占之無大害，秋冬定佔有傷刑
509,艮山,5,7,7,護送,護送占之主和諧，雖是奔波可放懷，只恐纏綿延歲月，交待事滿貴人來，解人占之主和諧，雖是奔波可放懷，只恐纏綿延歲月，交還便得貴人來
510,震雷,6,4,4,護送,護送占之雖有險，完成任務有功勞，幸有貴人來助力，災非見過保安寧，解人占之兩重爻，爻卦須記有功勞，幸得貴人來助力，災非見過保安寧
511,巽風,7,5,5,護送,護送卜知受辛勞，刑傷不見有憂心，往來路涉多方碌，僅得貴人是助來，長解須知受辛苦，刑傷不見有憂心，往來路涉多方碌，僅得貴人遇貴來
512,離火,8,3,3,護送,護送押解未為凶，福德重重好事同，運送貴人多助力，管教得主保安寧，解人占此未為凶，福德好同官人友，遇貴人助力平順，得意安寧管教時
